zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
125,NULL,NULL,1,NULL,NULL,1,苏集      ,NULL,NULL,NULL,0,NULL,12485,SJC,苏,NULL
126,NULL,NULL,1,NULL,NULL,1,古营盘    ,NULL,NULL,NULL,0,NULL,12488,GYC,古,NULL
127,NULL,NULL,1,NULL,NULL,1,集宁南    ,NULL,NULL,NULL,0,NULL,12494,JAC,集,NULL
128,NULL,NULL,1,NULL,NULL,1,八苏木    ,NULL,NULL,NULL,0,NULL,12524,BSC,八,NULL
129,NULL,NULL,1,NULL,NULL,1,十八台    ,NULL,NULL,NULL,0,NULL,12530,SBC,十,NULL
130,NULL,NULL,1,NULL,NULL,1,马盖图    ,NULL,NULL,NULL,0,NULL,12536,MGC,马,NULL
131,NULL,NULL,1,NULL,NULL,1,卓资山    ,NULL,NULL,NULL,0,NULL,12542,ZZC,卓,NULL
132,NULL,NULL,1,NULL,NULL,1,卓资东    ,NULL,NULL,NULL,0,NULL,12543,ZDC,卓,NULL
133,NULL,NULL,1,NULL,NULL,1,福生庄    ,NULL,NULL,NULL,0,NULL,12548,FSC,福,NULL
134,NULL,NULL,1,NULL,NULL,1,三道营    ,NULL,NULL,NULL,0,NULL,12554,SDC,三,NULL
135,NULL,NULL,1,NULL,NULL,1,旗下营    ,NULL,NULL,NULL,0,NULL,12560,QXC,旗,NULL
136,NULL,NULL,1,NULL,NULL,1,旗下营东  ,NULL,NULL,NULL,0,NULL,12561,QDC,旗,NULL
137,NULL,NULL,1,NULL,NULL,1,民族      ,NULL,NULL,NULL,0,NULL,12566,MZC,民,NULL
138,NULL,NULL,1,NULL,NULL,1,陶卜齐    ,NULL,NULL,NULL,0,NULL,12569,TBC,陶,NULL
139,NULL,NULL,1,NULL,NULL,1,白塔      ,NULL,NULL,NULL,0,NULL,12575,BOC,白,NULL
140,NULL,NULL,1,NULL,NULL,1,呼和浩特东,NULL,NULL,NULL,0,NULL,12578,NDC,呼,NULL
141,NULL,NULL,1,NULL,NULL,1,呼和浩特  ,NULL,NULL,NULL,0,NULL,12581,HHC,呼,NULL
142,NULL,NULL,1,NULL,NULL,1,台阁牧    ,NULL,NULL,NULL,0,NULL,12596,TMC,台,NULL
143,NULL,NULL,1,NULL,NULL,1,毕克齐    ,NULL,NULL,NULL,0,NULL,12602,BKC,毕,NULL
144,NULL,NULL,1,NULL,NULL,1,察素齐    ,NULL,NULL,NULL,0,NULL,12605,CSC,察,NULL
145,NULL,NULL,1,NULL,NULL,1,陶思浩    ,NULL,NULL,NULL,0,NULL,12611,TSC,陶,NULL
146,NULL,NULL,1,NULL,NULL,1,美岱召    ,NULL,NULL,NULL,0,NULL,12617,MDC,美,NULL
147,NULL,NULL,1,NULL,NULL,1,萨拉齐东  ,NULL,NULL,NULL,0,NULL,12622,SCC,萨,NULL
148,NULL,NULL,1,NULL,NULL,1,萨拉齐    ,NULL,NULL,NULL,0,NULL,12623,SLC,萨,NULL
149,NULL,NULL,1,NULL,NULL,1,公积坂    ,NULL,NULL,NULL,0,NULL,12629,GJC,公,NULL
150,NULL,NULL,1,NULL,NULL,1,东兴      ,NULL,NULL,NULL,0,NULL,12635,DXC,东,NULL
151,NULL,NULL,1,NULL,NULL,1,包头东    ,NULL,NULL,NULL,0,NULL,12647,BDC,包,NULL
152,NULL,NULL,1,NULL,NULL,1,清河      ,NULL,NULL,NULL,0,NULL,12707,QIP,清,NULL
153,NULL,NULL,1,NULL,NULL,1,清华园    ,NULL,NULL,NULL,0,NULL,12710,QHP,清,NULL
154,NULL,NULL,1,NULL,NULL,1,北京北    ,NULL,NULL,NULL,0,NULL,12713,VAP,京,NULL
155,NULL,NULL,1,NULL,NULL,1,滩头湾    ,NULL,NULL,NULL,0,NULL,12804,TAQ,滩,NULL
156,NULL,NULL,1,NULL,NULL,1,石景山南  ,NULL,NULL,NULL,0,NULL,13385,SRP,石,NULL
